,count_eventos,recencia,duracao,frequencia
0,1.0,0.17857142857142855,0.81,0.03225806451612903
1,0.69901037895245,0.08333333333333333,0.76,0.1935483870967742
2,0.5183441950277576,0.8095238095238095,0.1,0.14516129032258063
3,0.44255370504465363,0.0,0.93,0.564516129032258
4,0.41057204923968144,0.4880952380952381,0.43,0.1774193548387097
5,0.34805696355298094,0.6666666666666666,0.21,0.16129032258064518
6,0.34298817282162686,0.42857142857142855,0.6,0.24193548387096775
7,0.27226647356987693,0.47619047619047616,0.28,0.27419354838709675
8,0.2626116340815834,0.0,0.78,0.6290322580645161
9,0.25247405261887523,0.8214285714285714,0.01,0.016129032258064516
10,0.2448708665218441,0.8095238095238095,0.13,0.2096774193548387
11,0.23956070480328265,0.7619047619047619,0.32,0.3064516129032258
12,0.23557808351436157,0.3333333333333333,0.6900000000000001,0.24193548387096775
13,0.2343712285783249,0.6785714285714285,0.18,0.16129032258064518
14,0.2305092927830075,0.4880952380952381,0.55,0.3225806451612903
15,0.22218199372435435,0.42857142857142855,0.6,0.3870967741935484
16,0.22181993724354335,0.2738095238095238,0.56,0.3870967741935484
17,0.20637219406227372,0.40476190476190477,0.59,0.24193548387096775
18,0.19659666908037654,0.0,0.9,0.5161290322580645
19,0.1937002172338885,0.0,0.9,0.4032258064516129
20,0.19309678976587016,0.5595238095238095,0.22,0.22580645161290325
21,0.1917692493362298,0.38095238095238093,0.67,0.6774193548387096
22,0.18899348298334542,0.0,0.77,0.1935483870967742
23,0.1879073135409124,0.34523809523809523,0.56,0.16129032258064518
24,0.18489017620082068,0.16666666666666666,0.55,0.16129032258064518
25,0.18404537774559498,0.4880952380952381,0.38,0.22580645161290325
26,0.18175235336712528,0.3214285714285714,0.16,0.0967741935483871
27,0.1784938450398262,0.9285714285714285,0.21,0.2096774193548387
28,0.17632150615496017,0.0,0.89,0.8870967741935484
29,0.1754767076997345,0.8095238095238095,0.16,0.12903225806451613
30,0.17451122375090514,0.14285714285714285,0.64,0.14516129032258063
31,0.1723388848660391,0.369047619047619,0.0,0.016129032258064516
32,0.1704079169683804,0.10714285714285714,0.74,0.2096774193548387
33,0.16340815833936762,0.09523809523809523,0.84,0.1774193548387097
34,0.16002896451846488,0.47619047619047616,0.59,0.04838709677419355
35,0.15966690803765388,0.47619047619047616,0.51,0.1774193548387097
36,0.15640839971035483,0.5119047619047619,0.55,0.564516129032258
37,0.1533912623702631,0.8571428571428571,0.12,0.0967741935483871
38,0.1533912623702631,0.369047619047619,0.42,0.06451612903225806
39,0.15133960897900073,0.5833333333333333,0.43,0.45161290322580644
40,0.14940864108134203,0.10714285714285714,0.91,0.6612903225806451
41,0.14651218923485398,0.19047619047619047,0.68,0.3709677419354839
42,0.14590876176683562,0.30952380952380953,0.71,0.4032258064516129
43,0.1421675114651219,0.22619047619047616,0.55,0.14516129032258063
44,0.1409606565290852,0.26190476190476186,0.01,0.03225806451612903
45,0.13661597875935313,0.16666666666666666,0.8200000000000001,0.12903225806451613
46,0.1348056963552981,0.41666666666666663,0.36,0.3064516129032258
47,0.13468501086169443,0.011904761904761904,0.97,0.6451612903225806
48,0.1335988414192614,0.3214285714285714,0.56,0.2096774193548387
49,0.13347815592565773,0.16666666666666666,0.71,0.22580645161290325
50,0.13190924450881006,0.023809523809523808,0.91,0.5
51,0.12925416364952932,0.6428571428571428,0.44,0.3064516129032258
52,0.12889210716871832,0.023809523809523808,0.9500000000000001,0.532258064516129
53,0.12635771180304128,0.23809523809523808,0.6900000000000001,0.3870967741935484
54,0.1232198889693459,0.6666666666666666,0.13,0.14516129032258063
55,0.12297851798213856,0.011904761904761904,0.88,0.5161290322580645
56,0.12153029205889453,0.6547619047619048,0.23,0.14516129032258063
57,0.12128892107168719,0.09523809523809523,0.8200000000000001,0.45161290322580644
58,0.12092686459087619,0.22619047619047616,0.66,0.5806451612903226
59,0.12032343712285784,0.17857142857142855,0.62,0.14516129032258063
60,0.11935795317402849,0.011904761904761904,0.91,0.9032258064516129
61,0.1181510982379918,0.23809523809523808,0.56,0.3709677419354839
62,0.11609944484672943,0.40476190476190477,0.37,0.14516129032258063
63,0.11597875935312577,0.16666666666666666,0.7000000000000001,0.5161290322580645
64,0.11597875935312577,0.39285714285714285,0.64,0.7419354838709677
65,0.11537533188510742,0.8214285714285714,0.2,0.0967741935483871
66,0.11416847694907073,0.6785714285714285,0.14,0.0967741935483871
67,0.11380642046825973,0.07142857142857142,0.91,0.8709677419354839
68,0.1123581945450157,0.19047619047619047,0.66,0.5161290322580645
69,0.11090996862177167,0.6904761904761905,0.16,0.06451612903225806
70,0.11054791214096066,0.42857142857142855,0.49,0.3548387096774194
71,0.11018585566014966,0.15476190476190477,0.5,0.1774193548387097
72,0.10994448467294232,0.0,0.84,0.564516129032258
73,0.10982379917933865,0.41666666666666663,0.63,0.08064516129032258
74,0.1095824281921313,0.34523809523809523,0.67,0.467741935483871
75,0.10934105720492397,0.0,0.8300000000000001,0.4838709677419355
76,0.10934105720492397,0.0,0.93,0.564516129032258
77,0.1088583152305093,0.44047619047619047,0.35000000000000003,0.16129032258064518
78,0.10837557325609462,0.39285714285714285,0.58,0.3548387096774194
79,0.10608254887762492,0.09523809523809523,0.92,1.0
80,0.10559980690321025,0.16666666666666666,0.71,0.22580645161290325
81,0.10559980690321025,0.14285714285714285,0.73,0.3225806451612903
82,0.10427226647356988,0.26190476190476186,0.4,0.16129032258064518
83,0.10234129857591118,0.7738095238095237,0.14,0.14516129032258063
84,0.10161718561428917,0.011904761904761904,0.77,0.22580645161290325
85,0.10149650012068549,0.011904761904761904,0.9500000000000001,0.5483870967741935
86,0.0995655322230268,0.8095238095238095,0.11,0.04838709677419355
87,0.09908279024861212,0.44047619047619047,0.39,0.22580645161290325
88,0.09884141926140479,0.9047619047619047,0.07,0.08064516129032258
89,0.09872073376780112,0.011904761904761904,0.96,0.08064516129032258
90,0.09860004827419745,0.8571428571428571,0.19,0.1935483870967742
91,0.09847936278059378,0.738095238095238,0.24,0.22580645161290325
92,0.0979966208061791,0.023809523809523808,0.67,0.2903225806451613
93,0.0976345643253681,0.011904761904761904,0.84,0.5967741935483871
94,0.09630702389572773,0.3571428571428571,0.35000000000000003,0.16129032258064518
